Growless Cave  (3057,5272)  (2906,5355)  | overflowToLeft=false
Ruins of Silvermoon  (5067,1734)  (5017,1783)  (5017,1733)  (5067,1684)  (5117,1684)  (5117,1734)  | overflowToLeft=false
Sunsail Anchorage  (4822,2262)  (4772,2278)  (4866,2212)  (4872,2262)  (4872,2312)  (4916,2177)  (4722,2286)  (4922,2227)  (4922,2277)  | overflowToLeft=false
The Dawning Isles  (2790,4975)  (2740,5008)  (2778,4925)  (2755,4848)  (2705,4817)  | overflowToLeft=false
Hiri'watha  (4354,5474)  (4304,5523)  (4304,5473)  (4369,5424)  (4404,5474)  (4254,5547)  (4254,5497)  (4454,5462)  | overflowToLeft=false
Stormglen Village  (2123,6556)  (2073,6579)  (2173,6512)  (2173,6562)  | overflowToLeft=false
Duskwither Spire  (5667,2030)  (5617,2052)  (5658,1980)  (5717,2008)  | overflowToLeft=false
Dawnstar Spire  (5666,2734)  (5678,2784)  (5660,2684)  (5716,2702)  | overflowToLeft=false
Quel'Danas Dead Scar  (5226,1000)  (5231,865)  (5199,760)  | overflowToLeft=false
West Darrowmere Range  (4680,4796)  (4630,4845)  (4630,4795)  (4729,4846)  (4680,4746)  (4730,4746)  (4730,4796)  (4628,4745)  (4679,4895)  (4629,4895)  (4580,4845)  (4580,4795)  (4779,4846)  (4779,4896)  (4729,4896)  (4678,4696)  (4728,4696)  (4780,4705)  (4780,4755)  (4578,4745)  (4578,4695)  (4628,4695)  (4679,4945)  (4829,4805)  (4829,4855)  (4829,4905)  (4779,4946)  (4729,4946)  (4678,4646)  (4728,4646)  (4830,4714)  (4547,4645)  (4597,4645)  (4838,4955)  (4679,4995)  (4879,4764)  (4879,4814)  (4879,4864)  (4788,4996)  (4738,4996)  (4880,4706)  (4530,4595)  (4888,4940)  (4888,4990)  (4838,5005)  (4929,4756)  (4929,4806)  (4930,4686)  (4487,4545)  (4855,5055)  (4979,4736)  (4979,4786)  | overflowToLeft=false
Crosspoint Tower  (3312,5587)  (3262,5629)  (3262,5579)  (3362,5555)  (3362,5605)  (3245,5529)  (3412,5554)  | overflowToLeft=false
Hearthglen  (3670,3853)  (3620,3902)  (3620,3852)  (3719,3903)  (3670,3803)  (3720,3803)  (3720,3853)  (3618,3802)  (3570,3907)  (3570,3857)  (3769,3903)  (3731,3953)  (3770,3766)  (3770,3816)  | overflowToLeft=false
An'daroth  (4954,2730)  (4904,2779)  (4973,2780)  (4977,2680)  (5027,2650)  | overflowToLeft=false
Havenswood  (3198,6511)  (3148,6515)  (3148,6465)  (3247,6561)  (3248,6482)  (3197,6565)  (3098,6495)  (3098,6445)  (3297,6532)  (3298,6472)  (3048,6468)  | overflowToLeft=false
Northern Lordaeron  (4217,3585)  (4167,3634)  (4167,3584)  (4266,3635)  (4217,3535)  (4267,3535)  (4267,3585)  (4165,3534)  (4216,3684)  (4166,3684)  (4117,3634)  (4117,3584)  (4316,3635)  (4316,3685)  (4266,3685)  (4116,3685)  (4215,3485)  (4265,3485)  (4315,3485)  (4317,3535)  (4317,3585)  (4115,3534)  (4115,3484)  (4165,3484)  (4365,3437)  (4216,3734)  (4166,3734)  (4067,3635)  (4067,3585)  (4366,3635)  (4366,3685)  (4307,3735)  (4116,3735)  (4066,3735)  (4066,3685)  (4241,3435)  (4291,3435)  (4367,3487)  (4367,3537)  (4065,3535)  (4065,3485)  (4341,3387)  (4391,3387)  (4415,3437)  (4241,3784)  (4191,3784)  (4017,3607)  (4416,3587)  (4141,3785)  (4091,3785)  (4280,3385)  (4417,3487)  (4417,3537)  | overflowToLeft=false
Crusader Outpost  (3123,4171)  (3172,4221)  (3122,4221)  (3093,4121)  (3143,4121)  | overflowToLeft=false
Undercity  (2744,4530)  (2694,4579)  (2694,4529)  (2793,4580)  (2744,4480)  (2794,4480)  (2794,4530)  (2692,4479)  (2743,4629)  (2796,4630)  (2844,4573)  | overflowToLeft=false
Scarlet Monastery  (3232,3855)  (3287,3855)  (3347,3855)  (3255,3923)  (3308,3922)  (3367,3922)  | overflowToLeft=false
Alterac Valley Mountains  (3524,5163)  (3512,5213)  | overflowToLeft=false
Aerie Valley  (3775,5529)  (3914,5379)  (3964,5355)  | overflowToLeft=false
Jorundall  (917,2076)  (867,2112)  (867,2062)  (966,2126)  (917,2026)  (967,2026)  (967,2076)  (1017,2041)  (1017,2091)  (780,2110)  | overflowToLeft=false
Falconwing Square  (5119,1852)  | overflowToLeft=false
Tyr's Hand  (5725,4519)  (5675,4561)  (5675,4511)  (5774,4569)  (5775,4492)  | overflowToLeft=false
Sunblade Coast  (5102,770)  (5118,871)  (5148,964)  | overflowToLeft=false
Northlands  (2022,5926)  (1972,5975)  (1972,5925)  (2071,5976)  (2022,5876)  (2072,5876)  (2072,5926)  (1970,5875)  (2021,6025)  (1971,6025)  (1922,5955)  (2121,5976)  (2121,6026)  (2071,6026)  (2122,5882)  (1920,5905)  (1920,5855)  (1970,5825)  (1902,5805)  (2171,5932)  (1870,5878)  | overflowToLeft=false
Stratholme Gate  (4638,3608)  (4588,3657)  (4588,3607)  (4687,3658)  (4688,3568)  (4538,3666)  (4737,3618)  (4738,3568)  (4788,3568)  | overflowToLeft=false
Dawnstar Village  (4991,508)  (4941,557)  (4941,507)  (5040,558)  (4991,458)  (5041,458)  (5041,508)  (4990,607)  (4940,607)  (5090,558)  (5090,608)  (5040,608)  (4998,408)  (5048,408)  (5140,571)  (5132,658)  (5082,658)  (5032,658)  | overflowToLeft=false
